product_id,product_name,product_platform,unit_of_measure
P0478,PA-7500 SKU-0478,hardware_ngfw,device_license
P0479,PA-410 SKU-0479,hardware_ngfw,device_license
P0480,Cloud NGFW for Azure SKU-0480,cloud_ngfw,usage_units
P0481,CN-Series SKU-0481,software_ngfw,credits
P0482,Prisma Access Browser SKU-0482,sase,seats
P0483,Cloud NGFW for AWS SKU-0483,cloud_ngfw,usage_units
P0484,VM-100 SKU-0484,software_ngfw,credits
P0485,PA-460 SKU-0485,hardware_ngfw,device_license
P0486,Prisma Access Remote Networks SKU-0486,sase,seats
P0487,Cloud NGFW for AWS SKU-0487,cloud_ngfw,usage_units
P0488,Prisma Access Remote Networks SKU-0488,sase,seats
P0489,Prisma Access Mobile Users SKU-0489,sase,seats
P0490,VM-100 SKU-0490,software_ngfw,credits
P0491,Cloud NGFW for AWS SKU-0491,cloud_ngfw,usage_units
P0492,PA-7500 SKU-0492,hardware_ngfw,device_license
P0493,VM-500 SKU-0493,software_ngfw,credits
P0494,PA-7500 SKU-0494,hardware_ngfw,device_license
P0495,PA-440 SKU-0495,hardware_ngfw,device_license
P0496,Cloud NGFW for AWS SKU-0496,cloud_ngfw,usage_units
P0497,VM-100 SKU-0497,software_ngfw,credits
P0498,VM-500 SKU-0498,software_ngfw,credits
P0499,PA-3440 SKU-0499,hardware_ngfw,device_license
P0500,PA-3410 SKU-0500,hardware_ngfw,device_license
