feature_id,meaningful_floor_events,deep_threshold_events
F01353,8285,33140
F01354,10190,40762
F01355,13835,55343
F01356,734053,2936212
F01357,5527,22108
F01358,740701,2962806
F01359,310562,1242251
F01360,10405,41623
F01361,10965,43860
F01362,10865,43462
F01363,1102853,4411412
F01364,6639,26558
F01365,384090,1536360
F01366,1108516,4434064
F01367,12386,49546
F01368,4312,17251
F01369,534000,2136003
F01370,10073,40293
F01371,4579,18318
F01372,234055,936223
F01373,6823,27292
F01374,9024,36096
F01375,435140,1740560
F01376,4755,19023
F01377,279439,1117756
F01378,846143,3384572
F01379,10726,42906
F01380,17504,70017
F01381,473238,1892952
F01382,6729,26916
F01383,1079498,4317992
F01384,121761,487046
F01385,314925,1259701
F01386,4151,16605
F01387,239846,959384
F01388,6186,24744
F01389,15577,62308
F01390,107149,428599
F01391,29697,118788
F01392,461253,1845012
F01393,1209739,4838958
F01394,7496,29986
F01395,6987,27951
F01396,13257,53028
F01397,549625,2198502
F01398,15384,61536
F01399,147440,589760
F01400,20502,82008
F01401,230467,921868
F01402,5926,23705
F01403,8700,34803
F01404,27131,108525
F01405,12342,49368
F01406,437853,1751412
F01407,6867,27468
F01408,20400,81603
F01409,161404,645616
F01410,10284,41137
F01411,540388,2161554
F01412,238533,954133
F01413,34820,139282
F01414,205510,822041
F01415,11215,44861
F01416,10978,43915
F01417,156599,626398
F01418,7701,30807
F01419,12208,48832
F01420,518287,2073151
F01421,10600,42402
F01422,769396,3077586
F01423,3799,15196
F01424,137224,548898
F01425,8382,33528
F01426,107867,431469
F01427,246186,984746
F01428,15087,60350
F01429,681103,2724415
F01430,29604,118416
F01431,749554,2998217
F01432,279714,1118856
F01433,418279,1673116
F01434,16476,65906
F01435,9953,39812
F01436,8983,35933
F01437,12023,48093
F01438,151839,607357
F01439,4981,19927
F01440,188761,755044
F01441,507652,2030611
F01442,18059,72239
F01443,8924,35696
F01444,825080,3300321
F01445,13524,54099
F01446,5881,23527
F01447,7550,30200
F01448,154126,616507
F01449,506932,2027729
F01450,111100,444401
F01451,1062090,4248361
F01452,8453,33815
F01453,346376,1385505
F01454,204582,818328
F01455,4111,16446
F01456,26803,107212
F01457,8110,32440
F01458,306850,1227403
F01459,13777,55110
F01460,332814,1331256
F01461,415143,1660575
F01462,21950,87800
F01463,156264,625059
F01464,11954,47818
F01465,693560,2774243
F01466,7301,29204
F01467,7322,29288
F01468,204921,819687
F01469,5260,21040
F01470,203460,813843
F01471,13705,54823
F01472,10616,42465
F01473,193331,773324
F01474,684671,2738684
F01475,516561,2066246
F01476,17547,70188
F01477,21551,86204
F01478,8326,33304
F01479,18414,73658
F01480,523276,2093105
F01481,4016,16064
F01482,18552,74209
F01483,39917,159669
F01484,7283,29132
F01485,108701,434804
F01486,226299,905198
F01487,8822,35289
F01488,772124,3088497
F01489,15427,61710
F01490,8033,32133
F01491,134974,539898
F01492,1386357,5545429
F01493,267413,1069652
F01494,28179,112716
F01495,552517,2210070
F01496,10850,43400
F01497,6887,27551
F01498,722972,2891888
F01499,5490,21960
F01500,260776,1043105
F01501,17201,68807
F01502,7754,31018
F01503,637063,2548254
F01504,455692,1822768
F01505,4906,19626
F01506,15680,62723
F01507,7568,30274
F01508,214704,858816
F01509,553290,2213160
F01510,13112,52448
F01511,30046,120186
F01512,7998,31995
F01513,309688,1238752
F01514,23626,94506
F01515,262001,1048004
F01516,18715,74863
F01517,560238,2240955
F01518,23412,93650
F01519,7717,30870
F01520,337568,1350275
F01521,120662,482649
F01522,9845,39381
F01523,12241,48967
F01524,11123,44495
F01525,23716,94865
F01526,22299,89199
F01527,7877,31509
F01528,11619,46477
F01529,11114,44457
F01530,292701,1170804
F01531,5660,22640
F01532,23380,93520
F01533,6170,24682
F01534,29447,117790
F01535,546820,2187280
F01536,787411,3149646
F01537,324070,1296282
F01538,23467,93868
F01539,206271,825084
F01540,13323,53292
F01541,18150,72602
F01542,6456,25824
F01543,796605,3186422
F01544,18148,72593
F01545,1248546,4994187
F01546,217391,869564
F01547,269224,1076896
F01548,5833,23332
F01549,11170,44682
F01550,9960,39840
F01551,30917,123668
F01552,14373,57492
F01553,19615,78463
F01554,273202,1092808
F01555,133814,535256
F01556,161387,645549
F01557,20419,81676
F01558,423996,1695987
F01559,25468,101873
F01560,6989,27956
F01561,14975,59902
F01562,23718,94875
F01563,15576,62304
F01564,190876,763504
F01565,576052,2304210
F01566,9793,39173
F01567,6478,25912
F01568,12483,49932
F01569,606698,2426794
F01570,184335,737342
F01571,201184,804736
F01572,426705,1706820
F01573,479135,1916540
F01574,19149,76599
F01575,16305,65222
F01576,369634,1478537
F01577,7225,28903
F01578,204793,819172
F01579,542827,2171308
F01580,996834,3987336
F01581,3637,14548
F01582,10836,43347
F01583,424213,1696853
F01584,16351,65406
F01585,105301,421204
F01586,14135,56540
F01587,4847,19388
F01588,402923,1611692
F01589,426873,1707492
F01590,38789,155157
F01591,311344,1245377
F01592,21551,86204
F01593,14641,58567
F01594,33467,133870
F01595,119406,477626
F01596,471553,1886215
F01597,134924,539696
F01598,9994,39977
F01599,11691,46767
F01600,26105,104423
F01601,532831,2131325
F01602,4350,17401
F01603,9611,38445
F01604,187450,749803
F01605,17202,68810
F01606,18649,74599
F01607,959414,3837657
F01608,5022,20091
F01609,10749,42998
F01610,9328,37314
F01611,410982,1643930
F01612,488280,1953122
F01613,14956,59824
F01614,21855,87423
F01615,7553,30215
F01616,12027,48111
F01617,10343,41373
F01618,15869,63478
F01619,9764,39057
F01620,1328531,5314127
F01621,569122,2276489
F01622,281307,1125229
F01623,1256913,5027655
F01624,11004,44018
F01625,154102,616409
F01626,241343,965375
F01627,423095,1692380
F01628,16150,64601
F01629,16202,64811
F01630,28326,113304
F01631,203056,812225
F01632,331092,1324368
F01633,7976,31906
F01634,17123,68493
F01635,18958,75834
F01636,10678,42712
F01637,135891,543565
F01638,8162,32648
F01639,11751,47004
F01640,551221,2204887
F01641,272051,1088206
F01642,9548,38192
F01643,97525,390101
F01644,21293,85173
F01645,216020,864082
F01646,211570,846281
F01647,5741,22965
F01648,682396,2729587
F01649,139826,559305
F01650,6223,24892
F01651,20192,80769
F01652,723190,2892760
F01653,12376,49506
F01654,304913,1219652
F01655,33567,134270
F01656,27364,109457
F01657,22941,91764
F01658,15875,63502
F01659,15531,62125
F01660,1081805,4327220
F01661,6862,27451
F01662,17101,68404
F01663,393979,1575919
F01664,819826,3279304
F01665,250695,1002781
F01666,31915,127660
F01667,4399,17596
F01668,286156,1144627
F01669,7243,28972
F01670,240118,960475
F01671,212708,850833
F01672,11936,47746
F01673,1329306,5317224
F01674,8054,32217
F01675,21970,87880
F01676,14444,57778
F01677,332914,1331658
F01678,9088,36352
F01679,814703,3258815
F01680,122319,489277
F01681,10037,40148
F01682,5211,20844
F01683,423866,1695464
F01684,161892,647568
F01685,14148,56593
F01686,211980,847920
F01687,26991,107966
F01688,164771,659084
F01689,13157,52629
F01690,5240,20960
F01691,22402,89608
F01692,14694,58778
F01693,318757,1275030
F01694,7250,29000
F01695,15463,61852
F01696,944114,3776456
F01697,28506,114024
F01698,261531,1046124
F01699,6515,26060
F01700,1329766,5319065
F01701,19917,79670
F01702,7061,28244
F01703,16180,64720
F01704,24909,99636
F01705,517936,2071747
F01706,4435,17740
F01707,152869,611478
F01708,24702,98809
F01709,18657,74628
F01710,240552,962208
F01711,494435,1977740
F01712,183121,732484
F01713,14553,58213
F01714,404413,1617654
F01715,919545,3678183
F01716,675815,2703262
F01717,16547,66190
F01718,14750,59001
F01719,6359,25438
F01720,20273,81092
F01721,4213,16853
F01722,1065789,4263159
F01723,10078,40314
F01724,222900,891603
F01725,19501,78007
F01726,662408,2649635
F01727,149425,597700
F01728,17170,68682
F01729,19141,76566
F01730,120620,482480
F01731,704338,2817355
F01732,6788,27155
F01733,209928,839713
F01734,18458,73832
F01735,7633,30532
F01736,1185775,4743100
F01737,125826,503305
F01738,7503,30012
F01739,12848,51395
F01740,623335,2493343
F01741,18593,74375
F01742,256930,1027720
F01743,9287,37148
F01744,154699,618798
F01745,31905,127620
F01746,11530,46123
F01747,469983,1879934
F01748,1068988,4275952
F01749,620611,2482445
F01750,4221,16884
F01751,900656,3602627
F01752,271726,1086906
F01753,15377,61508
F01754,22979,91919
F01755,168044,672176
F01756,27169,108676
F01757,4980,19922
F01758,477818,1911272
F01759,16436,65746
F01760,293149,1172598
F01761,13664,54659
F01762,1091599,4366397
F01763,123146,492584
F01764,23735,94943
F01765,11550,46200
F01766,16720,66880
F01767,926350,3705400
F01768,332210,1328840
F01769,20161,80646
F01770,14323,57293
F01771,22956,91824
F01772,21343,85372
F01773,1016185,4064741
F01774,3778,15112
F01775,398721,1594885
F01776,273090,1092363
F01777,219930,879722
F01778,4309,17238
F01779,16232,64929
F01780,5970,23881
F01781,25294,101179
F01782,9288,37154
F01783,14675,58703
F01784,383766,1535064
F01785,6476,25907
F01786,484973,1939895
F01787,10754,43016
F01788,137400,549602
F01789,30129,120516
F01790,8811,35246
F01791,481535,1926141
F01792,17401,69604
F01793,16818,67275
F01794,513051,2052204
F01795,7709,30837
F01796,20381,81526
F01797,16141,64567
F01798,6295,25182
F01799,177817,711271
F01800,23656,94624
F01801,468371,1873484
F01802,1298942,5195769
F01803,8417,33668
F01804,410782,1643128
F01805,241178,964715
F01806,7510,30040
F01807,215828,863315
F01808,8086,32345
F01809,519983,2079935
F01810,13909,55637
F01811,8465,33862
F01812,326261,1305047
F01813,506447,2025791
F01814,4410,17641
F01815,29056,116224
F01816,15222,60888
F01817,5411,21644
F01818,193579,774317
F01819,19074,76297
F01820,11594,46377
F01821,193218,772873
F01822,458874,1835496
F01823,35807,143231
F01824,3850,15403
F01825,30768,123075
F01826,182053,728214
F01827,18193,72772
F01828,141123,564494
F01829,16218,64872
F01830,8031,32126
F01831,248606,994424
F01832,326317,1305269
F01833,7237,28950
F01834,335896,1343585
F01835,198691,794764
F01836,22128,88515
F01837,109098,436393
F01838,12997,51989
F01839,1346554,5386216
F01840,8879,35516
F01841,744876,2979505
F01842,23354,93416
F01843,176011,704046
F01844,542779,2171119
F01845,1063817,4255268
F01846,6193,24772
F01847,19207,76830
F01848,5202,20810
F01849,7182,28730
F01850,128596,514387
F01851,13876,55504
F01852,925926,3703704
F01853,41677,166710
F01854,154737,618951
F01855,18886,75547
F01856,5893,23572
F01857,758152,3032608
F01858,10260,41042
F01859,668547,2674188
F01860,14714,58856
F01861,40499,161997
F01862,1153541,4614167
F01863,17392,69568
F01864,36414,145658
F01865,214613,858452
F01866,986952,3947810
F01867,298208,1192834
F01868,13009,52036
F01869,142918,571673
F01870,5392,21568
F01871,167303,669213
F01872,222199,888797
F01873,734727,2938908
F01874,141331,565326
F01875,224540,898161
F01876,12775,51102
F01877,679598,2718394
F01878,23172,92688
F01879,18644,74577
F01880,18818,75273
F01881,315239,1260958
F01882,6637,26551
F01883,862197,3448790
F01884,9694,38778
F01885,38220,152883
F01886,18012,72050
F01887,1385137,5540548
F01888,4067,16269
F01889,6739,26958
F01890,666347,2665390
F01891,10236,40946
F01892,413185,1652740
F01893,745852,2983410
F01894,18127,72511
F01895,285691,1142765
F01896,16407,65631
F01897,326726,1306907
F01898,16275,65103
F01899,98777,395110
F01900,19889,79556
F01901,30582,122328
F01902,6819,27277
F01903,130488,521952
F01904,493210,1972843
F01905,11904,47619
F01906,13174,52697
F01907,953868,3815472
F01908,272384,1089539
F01909,340933,1363732
F01910,9168,36674
F01911,8106,32424
F01912,16813,67253
F01913,27946,111785
F01914,16939,67756
F01915,149008,596035
F01916,27798,111195
F01917,488760,1955040
F01918,16028,64113
F01919,339582,1358328
F01920,122759,491037
F01921,1278785,5115142
F01922,18547,74189
F01923,8266,33064
F01924,8680,34723
F01925,20555,82221
F01926,408246,1632985
F01927,7046,28187
F01928,12781,51127
F01929,23224,92898
F01930,15439,61756
F01931,18824,75297
F01932,427443,1709773
F01933,5726,22904
F01934,31474,125897
F01935,786527,3146110
F01936,863259,3453036
F01937,5110,20440
F01938,24232,96928
F01939,16230,64922
F01940,8032,32130
F01941,16688,66752
F01942,13611,54444
F01943,258636,1034544
F01944,541209,2164836
F01945,23495,93981
F01946,30364,121458
F01947,1219722,4878888
F01948,172195,688781
F01949,14438,57755
F01950,11000,44001
F01951,236968,947875
F01952,19526,78105
F01953,8860,35440
F01954,877830,3511322
F01955,324873,1299492
F01956,13786,55145
F01957,215556,862224
F01958,21835,87341
F01959,9010,36043
F01960,412825,1651300
F01961,16795,67182
F01962,14184,56738
F01963,176623,706494
F01964,19494,77978
F01965,25174,100696
F01966,148584,594337
F01967,434459,1737837
F01968,8320,33280
F01969,17820,71281
F01970,10714,42857
F01971,10394,41576
F01972,11238,44953
F01973,9127,36509
F01974,18566,74267
F01975,189410,757642
F01976,35651,142604
F01977,7968,31872
F01978,17995,71981
F01979,19472,77888
F01980,1171649,4686599
F01981,439491,1757966
F01982,220230,880923
F01983,628297,2513189
F01984,7629,30516
F01985,10407,41629
F01986,1017464,4069858
F01987,495945,1983780
F01988,15661,62645
F01989,6449,25797
F01990,19553,78212
F01991,12917,51670
F01992,34235,136940
F01993,18140,72562
F01994,11930,47721
F01995,522002,2088009
F01996,15895,63580
F01997,186470,745883
F01998,18704,74817
F01999,8011,32046
F02000,950117,3800468
F02001,10461,41844
F02002,21153,84615
F02003,19910,79640
F02004,23997,95988
F02005,25566,102265
F02006,18482,73928
F02007,6462,25850
F02008,15547,62189
F02009,193804,775216
F02010,6385,25543
F02011,11323,45292
F02012,681477,2725911
F02013,473118,1892472
F02014,24806,99226
F02015,828673,3314692
F02016,105102,420408
F02017,21036,84146
F02018,286712,1146849
F02019,11405,45623
F02020,6251,25004
F02021,432634,1730536
F02022,277909,1111639
F02023,9413,37653
F02024,17964,71857
F02025,9725,38901
F02026,377254,1509016
F02027,12821,51284
F02028,162710,650840
F02029,719821,2879286
F02030,391477,1565911
F02031,16569,66277
F02032,5266,21064
F02033,807667,3230668
F02034,27469,109876
F02035,152339,609356
F02036,485293,1941174
F02037,31214,124858
F02038,11847,47389
F02039,36963,147852
F02040,464534,1858138
F02041,6849,27398
F02042,1242569,4970278
F02043,371932,1487729
F02044,603131,2412524
F02045,4690,18761
F02046,16652,66608
F02047,10248,40992
F02048,29730,118923
F02049,7553,30215
F02050,771373,3085495
F02051,22370,89480
F02052,12086,48345
F02053,7601,30407
F02054,125534,502136
F02055,869887,3479548
F02056,9404,37618
F02057,32861,131446
F02058,361838,1447353
F02059,316199,1264799
F02060,10806,43224
F02061,117899,471596
F02062,718846,2875386
F02063,19597,78388
F02064,1179944,4719779
F02065,5530,22122
F02066,30439,121758
F02067,650550,2602202
F02068,12942,51769
F02069,32443,129775
F02070,390960,1563840
F02071,33072,132289
F02072,117085,468341
F02073,377546,1510184
F02074,11617,46468
F02075,9515,38061
F02076,1299797,5199190
F02077,18913,75654
F02078,9952,39809
F02079,482237,1928950
F02080,19579,78318
F02081,300136,1200544
F02082,4310,17242
F02083,20368,81473
F02084,12766,51064
F02085,5133,20532
F02086,610257,2441028
F02087,296744,1186977
F02088,13744,54976
F02089,422822,1691291
F02090,14192,56768
F02091,219618,878474
F02092,10811,43244
F02093,299732,1198928
F02094,9093,36373
F02095,534394,2137579
F02096,364892,1459568
F02097,12327,49310
F02098,1136357,4545428
F02099,345917,1383669
F02100,17779,71117
F02101,508735,2034941
F02102,30180,120720
F02103,7368,29472
F02104,1327669,5310676
F02105,8856,35427
F02106,15780,63122
F02107,796322,3185290
F02108,19126,76507
F02109,158920,635682
F02110,16607,66430
F02111,6952,27808
F02112,517730,2070920
F02113,11881,47526
F02114,411411,1645644
F02115,308055,1232220
F02116,96625,386500
F02117,16191,64767
F02118,236813,947252
F02119,12407,49629
F02120,5538,22153
F02121,17377,69508
F02122,1023512,4094049
F02123,29558,118232
F02124,38435,153742
F02125,23674,94699
F02126,11194,44776
F02127,174764,699057
F02128,22309,89236
F02129,18865,75461
F02130,8954,35817
F02131,27802,111211
F02132,19989,79956
F02133,137032,548128
F02134,161955,647823
F02135,376675,1506703
F02136,1030146,4120587
F02137,362261,1449047
F02138,19737,78948
F02139,14981,59924
F02140,7834,31338
F02141,27927,111709
F02142,15016,60065
F02143,216019,864076
F02144,8057,32228
F02145,689908,2759635
F02146,3963,15852
F02147,424660,1698641
F02148,33423,133692
F02149,12350,49400
F02150,25816,103267
F02151,17605,70420
F02152,693060,2772242
F02153,17464,69859
F02154,210724,842896
F02155,758997,3035991
F02156,1213414,4853658
F02157,10566,42264
F02158,7211,28845
F02159,30805,123220
F02160,370107,1480430
F02161,5033,20132
F02162,7932,31728
F02163,11057,44229
F02164,3966,15864
F02165,16606,66424
F02166,19683,78732
F02167,144559,578236
F02168,25154,100616
F02169,10121,40484
F02170,30968,123875
F02171,325126,1300507
F02172,257436,1029746
F02173,781561,3126244
F02174,30654,122616
F02175,18814,75257
F02176,11844,47377
F02177,17862,71449
F02178,281924,1127698
F02179,32422,129691
F02180,5019,20077
F02181,11976,47906
F02182,5172,20691
F02183,802158,3208632
F02184,7797,31188
F02185,25364,101459
F02186,7286,29144
F02187,236541,946164
F02188,7228,28915
F02189,7694,30779
F02190,101525,406102
F02191,508608,2034432
F02192,15409,61637
F02193,4856,19424
F02194,9150,36600
F02195,149412,597650
F02196,6790,27162
F02197,5169,20676
F02198,97382,389528
F02199,1160809,4643236
F02200,5897,23590
F02201,8854,35417
F02202,21633,86534
F02203,1329272,5317091
F02204,166928,667712
F02205,706059,2824236
F02206,36592,146368
F02207,324741,1298964
F02208,32324,129299
F02209,31492,125968
F02210,24488,97952
F02211,754924,3019699
F02212,18263,73055
F02213,5816,23266
F02214,16364,65457
F02215,384943,1539774
F02216,515119,2060476
F02217,154656,618625
F02218,24297,97191
F02219,14281,57125
F02220,964879,3859518
F02221,7345,29382
F02222,5158,20633
F02223,15176,60706
F02224,8383,33532
F02225,29673,118694
F02226,12047,48188
F02227,118580,474322
F02228,30004,120017
F02229,207998,831993
F02230,9326,37306
F02231,39962,159848
F02232,200322,801291
F02233,595533,2382132
F02234,9802,39209
F02235,409686,1638744
F02236,4115,16461
F02237,20427,81711
F02238,7308,29234
F02239,349815,1399262
F02240,18886,75547
F02241,158043,632172
F02242,16964,67856
F02243,19866,79464
F02244,14683,58734
F02245,617959,2471836
F02246,15118,60474
F02247,34689,138759
F02248,201658,806634
F02249,322446,1289784
F02250,26465,105862
F02251,366382,1465529
F02252,6425,25702
F02253,9292,37168
F02254,638850,2555400
F02255,383345,1533380
F02256,22956,91824
F02257,789909,3159636
F02258,12616,50466
F02259,6508,26035
F02260,422500,1690000
F02261,385716,1542866
F02262,9973,39893
F02263,1098039,4392157
F02264,9195,36780
F02265,260560,1042243
F02266,33426,133706
F02267,25683,102733
F02268,10533,42132
